Agent,Observation,easy,medium,hard,expert,overall
"Qwen3.5-4B, direct action",ASCII,0.04998148148148148,0.03220370370370371,0.007222222222222223,0.0033333333333333335,0.0232
"Qwen3.5-4B, direct action",Pixels,0.22018518518518518,0.08390740740740742,0.030925925925925926,0.038425925925925926,0.0934
