Observation,navigation,planning,reasoning,memory,generalization,multi_agent,overall
ASCII,0.0125,0.0611,0.0,0.0375,0.02,0.008,0.0232
Pixels,0.05,0.1467,0.0125,0.135,0.16,0.056,0.0934
